cache_key,Latitud,Longitud,Display_name
san antonio|chile,-33.5808615,-71.6132377,"San Antonio, Provincia de San Antonio, Región de Valparaíso, Chile"
los angeles|usa,34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
shanghai|china,31.2312707,121.4700152,"上海市, 中国"
hamburgo|alemania,53.5501721,10.0013165,"Hamburg, Deutschland"
roterdam|holanda,51.9244424,4.47775,"Rotterdam, Zuid-Holland, Nederland"
valencia|espana,39.4697065,-0.3763353,"València, Comarca de València, València / Valencia, Comunitat Valenciana, España"
genova|italia,44.40726,8.9338624,"Genova, Liguria, Italia"
vancouver|canada,49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
buenos aires|argentina,-34.6095579,-58.3887904,"Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, Argentina"
los angeles|estados unidos,34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
amberes|belgica,51.2211097,4.3997081,"Antwerpen, Vlaanderen, België / Belgique / Belgien"
manila|filipinas,14.5904492,120.9803621,"Manila, Capital District, Metro Manila, Philippines"
antofagasta|chile,-23.6463741,-70.3980033,"Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile"
lima|peru,-12.0459808,-77.0305912,"Lima, Lima Metropolitana, Lima, Perú"
